,Date,AAPL,MSFT,GOOG,AMZN,META
0,2019-01-02,39.47999954223633,101.12000274658203,52.29249954223633,76.95649719238281,135.67999267578125
1,2019-01-03,35.54750061035156,97.4000015258789,50.803001403808594,75.01399993896484,131.74000549316406
2,2019-01-04,37.064998626708984,101.93000030517578,53.535499572753906,78.76950073242188,137.9499969482422
3,2019-01-07,36.98249816894531,102.05999755859375,53.419498443603516,81.47550201416016,138.0500030517578
4,2019-01-08,37.6875,102.80000305175781,53.81399917602539,82.8290023803711,142.52999877929688
5,2019-01-09,38.32749938964844,104.2699966430664,53.733001708984375,82.97100067138672,144.22999572753906
6,2019-01-10,38.45000076293945,103.5999984741211,53.51649856567383,82.81099700927734,144.1999969482422
7,2019-01-11,38.0724983215332,102.80000305175781,52.859500885009766,82.02799987792969,143.8000030517578
8,2019-01-14,37.5,102.05000305175781,52.234500885009766,80.8604965209961,145.38999938964844
9,2019-01-15,38.26750183105469,105.01000213623047,53.85749816894531,83.72799682617188,148.9499969482422
10,2019-01-16,38.73500061035156,105.37999725341797,54.048500061035156,84.18900299072266,147.5399932861328
11,2019-01-17,38.96500015258789,106.12000274658203,54.494998931884766,84.66100311279297,148.3000030517578
12,2019-01-18,39.20500183105469,107.70999908447266,54.91299819946289,84.80999755859375,150.0399932861328
13,2019-01-22,38.32500076293945,105.68000030517578,53.5260009765625,81.6084976196289,147.57000732421875
14,2019-01-23,38.47999954223633,106.70999908447266,53.778499603271484,82.0009994506836,144.3000030517578
15,2019-01-24,38.17499923706055,106.19999694824219,53.69499969482422,82.74649810791016,145.8300018310547
16,2019-01-25,39.439998626708984,107.16999816894531,54.54949951171875,83.52850341796875,149.00999450683594
17,2019-01-28,39.07500076293945,105.08000183105469,53.50400161743164,81.89450073242188,147.47000122070312
18,2019-01-29,38.66999816894531,102.94000244140625,53.03099822998047,79.69400024414062,144.19000244140625
19,2019-01-30,41.3125,106.37999725341797,54.452999114990234,83.52149963378906,150.4199981689453
20,2019-01-31,41.61000061035156,104.43000030517578,55.81850051879883,85.9365005493164,166.69000244140625
21,2019-02-01,41.630001068115234,102.77999877929688,55.537498474121094,81.3115005493164,165.7100067138672
22,2019-02-04,42.8125,105.73999786376953,56.63999938964844,81.66549682617188,169.25
23,2019-02-05,43.54499816894531,107.22000122070312,57.29949951171875,82.94049835205078,171.16000366210938
24,2019-02-06,43.560001373291016,106.02999877929688,55.76150131225586,82.01300048828125,170.49000549316406
25,2019-02-07,42.73500061035156,105.2699966430664,54.93550109863281,80.71849822998047,166.3800048828125
26,2019-02-08,42.602500915527344,105.66999816894531,54.75299835205078,79.41100311279297,167.3300018310547
27,2019-02-11,42.35749816894531,105.25,54.7504997253418,79.55000305175781,165.7899932861328
28,2019-02-12,42.72249984741211,106.88999938964844,56.06850051879883,81.90049743652344,165.0399932861328
29,2019-02-13,42.54499816894531,106.80999755859375,56.007999420166016,82.0,164.07000732421875
30,2019-02-14,42.70000076293945,106.9000015258789,56.083499908447266,81.13249969482422,163.9499969482422
31,2019-02-15,42.60499954223633,108.22000122070312,55.682498931884766,80.39749908447266,162.5
32,2019-02-19,42.73249816894531,108.16999816894531,55.928001403808594,81.37899780273438,162.2899932861328
33,2019-02-20,43.00749969482422,107.1500015258789,55.689998626708984,81.1050033569336,162.55999755859375
34,2019-02-21,42.76499938964844,109.41000366210938,54.8484992980957,80.97200012207031,160.0399932861328
35,2019-02-22,43.24250030517578,110.97000122070312,55.51850128173828,81.5780029296875,161.88999938964844
